Image,PSNR_R,SSIM_R,PSNR_G,SSIM_G,PSNR_B,SSIM_B,BRISQUE,NIQE,sigma_bg_raw,sigma_bg_den,delta_sigma_bg_pct,delta_snr,edge_abs_diff,cnr_raw,cnr_den_gm,delta_cnr_gm,fwhm_raw_px,fwhm_den_px,delta_fwhm_px
2D_WT_NADA_RADA_HADA_THY_40min_ROI1_SIM.czi,38.00712642751644,0.7196237259810193,52.54431282661347,0.9864268611596531,51.53271946527454,0.9976908036251837,70.3086114887692,,0.00350956991314888,0.002688030479475856,-23.408483465359225,6.8432779181869385,0.002185894874855876,16.724184455631445,22.716238717824748,5.992054262193303,6.9208739855318555,6.584557889411613,-0.3363160961202425
2D_WT_NADA_RADA_HADA_THY_40min_ROI2_SIM.czi,50.79982138177117,0.9656505727907193,49.69728945850966,0.9736979853488433,52.32542158673708,0.9874994527733347,73.08485780253336,,0.006927898619323969,0.006801181938499212,-1.8290755231861262,-0.7175514043240874,0.0026236623525619507,21.678234127373194,21.013278365347976,-0.6649557620252189,10.009454530482643,11.039432525653822,1.0299779951711798
2D_WT_NADA_RADA_HADA_THY_40min_ROI3_SIM.czi,51.80270886526736,0.9949156345451814,43.566944987034674,0.9818806788867764,48.71200007197744,0.9963327681152235,76.91914752856405,,0.0063615660183131695,0.008511357009410858,33.793371090890865,-4.852452337511281,0.005004134029150009,22.152785551756065,18.04385918319287,-4.108926368563196,12.95973919474676,13.428770782214102,0.46903158746734164
DpspA_NADA_RADA_HADA_NHS_40min_ROI1_SIM.jpg,44.190548540669454,0.97907585538417,48.16861881085232,0.9885559094553937,44.23941305995686,0.9408935487703431,72.4596727271908,,0.008199592120945454,0.007597572635859251,-7.34205728773565,-1.5398958295505487,0.0048593198880553246,25.616642533618183,24.142631900974486,-1.4740106326436972,9.441265475748025,9.466671228066332,0.02540575231830644
DpspA_NADA_RADA_HADA_NHS_40min_ROI2_SIM.jpg,44.364046923635115,0.9477255386019011,41.15009361833345,0.9873398375265275,40.27537866631942,0.9579942334907512,68.92472528666588,,0.010066763497889042,0.00867251493036747,-13.85000435158236,-1.339692001825881,0.007473963778465986,25.76934272576586,24.644207816265933,-1.125134909499927,16.560858891290195,16.603793507039555,0.04293461574935975
WT_NADA_RADA_HADA_NHS_40min_ROI1_SIM.czi,59.117197442391955,0.9980465978092121,54.26865259085338,0.9909604372987751,48.365523052895085,0.9846402503178875,83.77585710804628,,0.003930204082280397,0.0038201205898076296,-2.800954099907325,0.7509973160449555,0.0018320931121706963,14.369698021076031,15.058111291564087,0.6884132704880557,8.678944234018033,7.545374490072689,-1.133569743945344
WT_NADA_RADA_HADA_NHS_40min_ROI2_SIM.czi,48.426672039929876,0.9813768469152634,51.784240948812574,0.9955618881407392,56.62429239677103,0.9954529998251651,83.7192612305109,,0.004820771049708128,0.004330447409301996,-10.17104148374086,-0.7396449366138427,0.003475218778476119,14.201698872250127,13.688845710956834,-0.5128531612932932,8.432871430495688,8.435853909019045,0.0029824785233572015
WT_NADA_RADA_HADA_NHS_40min_ROI3_SIM.czi,57.295080769578746,0.997502082647425,58.5136683015756,0.9980612981877489,56.250988476088665,0.9959945716757841,98.73243027908579,,0.0013532917946577072,0.0014122468419373035,4.356385804875691,-0.750014391753421,0.000867467257194221,15.09879379330344,14.665061364470759,-0.4337324288326805,6.637910144824772,6.9560598629862795,0.31814971816150717
